Temp	Nickel	Cobalt	Chromium	Molybdenum	Tungsten	Aluminium	Titanium	Niobium	Tantalum	Hafnium	Rhenium	Vanadium	Ferrite	Galium	AlphaGammaPrime
700	0.7384000000000001	0.0	0.040199999999999986	0.0166	0.0	0.1483	0.0364	0.016	0.004	0.0	0.0	0.0	0.0	0.0	3.614642
800	0.7384000000000001	0.0	0.040199999999999986	0.0166	0.0	0.1483	0.0364	0.016	0.004	0.0	0.0	0.0	0.0	0.0	3.6203239999999997
900	0.736	0.0	0.0435	0.016200000000000003	0.0	0.14800000000000002	0.0364	0.0159	0.004	0.0	0.0	0.0	0.0	0.0	3.6326980000000004
1000	0.7306999999999999	0.0	0.0475	0.0146	0.0	0.15039999999999998	0.0367	0.0158	0.0043	0.0	0.0	0.0	0.0	0.0	3.638515
25	0.7479	0.0	0.0261	0.0194	0.0	0.17079999999999998	0.0156	0.0202	0.0	0.0	0.0	0.0	0.0	0.0	3.5805010000000004
300	0.7479	0.0	0.0261	0.0194	0.0	0.17079999999999998	0.0156	0.0202	0.0	0.0	0.0	0.0	0.0	0.0	3.5927059999999997
500	0.7479	0.0	0.0261	0.0194	0.0	0.17079999999999998	0.0156	0.0202	0.0	0.0	0.0	0.0	0.0	0.0	3.601532
700	0.7479	0.0	0.0261	0.0194	0.0	0.17079999999999998	0.0156	0.0202	0.0	0.0	0.0	0.0	0.0	0.0	3.6108190000000002
800	0.7479	0.0	0.0261	0.0194	0.0	0.17079999999999998	0.0156	0.0202	0.0	0.0	0.0	0.0	0.0	0.0	3.6167269999999996
900	0.7465999999999999	0.0	0.0287	0.0189	0.0	0.1702	0.0156	0.02	0.0	0.0	0.0	0.0	0.0	0.0	3.6217269999999995
1000	0.7424	0.0	0.0313	0.0168	0.0	0.1736	0.0159	0.0201	0.0	0.0	0.0	0.0	0.0	0.0	3.628203
1100	0.7391	0.0	0.031400000000000004	0.0139	0.0	0.1796	0.0159	0.0201	0.0	0.0	0.0	0.0	0.0	0.0	3.634257
25	0.7383	0.0	0.0312	0.0243	0.0	0.1697	0.0	0.0	0.0365	0.0	0.0	0.0	0.0	0.0	3.587562
300	0.7383	0.0	0.0312	0.0243	0.0	0.1697	0.0	0.0	0.0365	0.0	0.0	0.0	0.0	0.0	3.5968440000000004
500	0.7383	0.0	0.0312	0.0243	0.0	0.1697	0.0	0.0	0.0365	0.0	0.0	0.0	0.0	0.0	3.605117
600	0.7383	0.0	0.0312	0.0243	0.0	0.1697	0.0	0.0	0.0365	0.0	0.0	0.0	0.0	0.0	3.6094199999999996
700	0.7383	0.0	0.0312	0.0243	0.0	0.1697	0.0	0.0	0.0365	0.0	0.0	0.0	0.0	0.0	3.6139339999999995
800	0.7383	0.0	0.0312	0.0243	0.0	0.1697	0.0	0.0	0.0365	0.0	0.0	0.0	0.0	0.0	3.619022
900	0.7359	0.0	0.0335	0.0235	0.0	0.17	0.0	0.0	0.037000000000000005	0.0	0.0	0.0	0.0	0.0	3.6247019999999996
1000	0.7317	0.0	0.0369	0.0216	0.0	0.17129999999999998	0.0	0.0	0.0386	0.0	0.0	0.0	0.0	0.0	3.630489
1100	0.7282	0.0	0.0386	0.019	0.0	0.1726	0.0	0.0	0.0417	0.0	0.0	0.0	0.0	0.0	3.636796
25	0.7453	0.0	0.0217	0.0276	0.0	0.17859999999999998	0.0	0.0	0.0255	0.0014000000000000002	0.0	0.0	0.0	0.0	3.580286
300	0.7453	0.0	0.0217	0.0276	0.0	0.17859999999999998	0.0	0.0	0.0255	0.0014000000000000002	0.0	0.0	0.0	0.0	3.5928720000000003
500	0.7453	0.0	0.0217	0.0276	0.0	0.17859999999999998	0.0	0.0	0.0255	0.0014000000000000002	0.0	0.0	0.0	0.0	3.6009160000000002
600	0.7453	0.0	0.0217	0.0276	0.0	0.17859999999999998	0.0	0.0	0.0255	0.0014000000000000002	0.0	0.0	0.0	0.0	3.605932
700	0.7453	0.0	0.0217	0.0276	0.0	0.17859999999999998	0.0	0.0	0.0255	0.0014000000000000002	0.0	0.0	0.0	0.0	3.610147
800	0.7453	0.0	0.0217	0.0276	0.0	0.17859999999999998	0.0	0.0	0.0255	0.0014000000000000002	0.0	0.0	0.0	0.0	3.615583
900	0.7431	0.0	0.023	0.0264	0.0	0.18	0.0	0.0	0.0261	0.0014000000000000002	0.0	0.0	0.0	0.0	3.6208150000000003
1000	0.7387	0.0	0.0248	0.0234	0.0	0.1834	0.0	0.0	0.0281	0.0016	0.0	0.0	0.0	0.0	3.626531
1100	0.7363	0.0	0.0255	0.0199	0.0	0.1846	0.0	0.0	0.0318	0.0018	0.0	0.0	0.0	0.0	3.6324400000000003
25	0.7037	0.039	0.0249	0.0243	0.0	0.17120000000000002	0.0	0.0	0.037000000000000005	0.0	0.0	0.0	0.0	0.0	3.584801
300	0.7037	0.039	0.0249	0.0243	0.0	0.17120000000000002	0.0	0.0	0.037000000000000005	0.0	0.0	0.0	0.0	0.0	3.595847
500	0.7037	0.039	0.0249	0.0243	0.0	0.17120000000000002	0.0	0.0	0.037000000000000005	0.0	0.0	0.0	0.0	0.0	3.605436
600	0.7037	0.039	0.0249	0.0243	0.0	0.17120000000000002	0.0	0.0	0.037000000000000005	0.0	0.0	0.0	0.0	0.0	3.6093910000000005
700	0.7037	0.039	0.0249	0.0243	0.0	0.17120000000000002	0.0	0.0	0.037000000000000005	0.0	0.0	0.0	0.0	0.0	3.6138839999999997
800	0.7037	0.039	0.0249	0.0243	0.0	0.17120000000000002	0.0	0.0	0.037000000000000005	0.0	0.0	0.0	0.0	0.0	3.618264
900	0.7001999999999999	0.041	0.0267	0.0236	0.0	0.171	0.0	0.0	0.0375	0.0	0.0	0.0	0.0	0.0	3.6239480000000004
1000	0.6933	0.0434	0.0286	0.0211	0.0	0.1736	0.0	0.0	0.039900000000000005	0.0	0.0	0.0	0.0	0.0	3.630753
25	0.902	0.0	0.098	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5273
25	0.9	0.0	0.049	0.0	0.0	0.051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5302
25	0.848	0.0	0.152	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5315
25	0.851	0.0	0.122	0.0	0.0	0.027000000000000003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5314
25	0.8490000000000001	0.0	0.099	0.0	0.0	0.052000000000000005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5342
25	0.828	0.0	0.096	0.0	0.0	0.076	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5388
25	0.802	0.0	0.198	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5374
25	0.799	0.0	0.14800000000000002	0.0	0.0	0.053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5412
25	0.7509999999999999	0.0	0.249	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5441
25	0.746	0.0	0.224	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5442
25	0.7490000000000001	0.0	0.198	0.0	0.0	0.053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5471
25	0.7020000000000001	0.0	0.298	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5509
25	0.6990000000000001	0.0	0.274	0.0	0.0	0.027000000000000003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5519
25	0.6990000000000001	0.0	0.247	0.0	0.0	0.054000000000000006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5533
25	0.652	0.0	0.348	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5582
25	0.647	0.0	0.325	0.0	0.0	0.028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5569
25	0.649	0.0	0.293	0.0	0.0	0.058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5582
25	0.7390000000000001	0.0	0.075	0.0	0.0	0.18600000000000005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5519
25	0.748	0.0	0.049	0.0	0.0	0.203	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5532
25	0.738	0.0	0.028	0.0	0.0	0.234	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5579
25	0.74	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.56
25	0.7190000000000001	0.0	0.094	0.0	0.0	0.187	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5515
25	0.6859999999999999	0.0	0.175	0.0	0.0	0.139	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5537
25	0.6890000000000001	0.0	0.151	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5556
25	0.698	0.0	0.126	0.0	0.0	0.17600000000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5564
25	0.688	0.0	0.102	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5593
25	0.643	0.0	0.16699999999999998	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.557
25	0.626	0.0	0.161	0.0	0.0	0.213	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5585
25	0.75	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5669999999999997
25	0.75	0.0	0.05	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.563
25	0.75	0.0	0.1	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.562
25	0.8	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	3.5428
25	0.75	0.0	0.0	0.0	0.0	0.025	0.0	0.0	0.0	0.0	0.0	0.0	0.225	0.0	3.5469
25	0.6	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.0	3.57
25	0.32	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.64	0.0	3.5856
25	0.38	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.57	0.0	3.5886
25	0.7	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	3.5573
25	0.7	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.175	0.0	3.5621
25	0.75	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	3.5654
25	0.7	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	3.5736
25	0.6	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	3.575
25	0.85	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	3.5404
25	0.7	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	3.5573
25	0.735	0.0	0.0	0.015	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.572
25	0.75	0.0	0.0	0.015	0.0	0.235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.568
25	0.741	0.0	0.0	0.0	0.0	0.259	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5599
25	0.748	0.0	0.0	0.0	0.0	0.194	0.058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.57
25	0.746	0.0	0.0	0.0	0.0	0.155	0.099	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.576
25	0.7440000000000001	0.0	0.0	0.0	0.0	0.106	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5819
25	0.7440000000000001	0.0	0.0	0.0	0.0	0.056	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5827
25	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	3.5523
25	0.7020000000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.298	3.5778
25	0.711	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.289	3.5751
25	0.75	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5655
25	0.75	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5318
25	0.75	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.572
25	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	3.585
25	0.75	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5715
25	0.75	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5708
