Temp	Nickel	Cobalt	Chromium	Molybdenum	Tungsten	Aluminium	Titanium	Niobium	Tantalum	Hafnium	Rhenium	Vanadium	Ferrite	Galium
25	0.6849	0.0565	0.022099999999999998	0.0067	0.032799999999999996	0.1597	0.0	0.0	0.0373	0.0	0.0	0.0	0.0	0.0
300	0.6849	0.0565	0.022099999999999998	0.0067	0.032799999999999996	0.1597	0.0	0.0	0.0373	0.0	0.0	0.0	0.0	0.0
500	0.6849	0.0565	0.022099999999999998	0.0067	0.032799999999999996	0.1597	0.0	0.0	0.0373	0.0	0.0	0.0	0.0	0.0
600	0.6849	0.0565	0.022099999999999998	0.0067	0.032799999999999996	0.1597	0.0	0.0	0.0373	0.0	0.0	0.0	0.0	0.0
700	0.6849	0.0565	0.022099999999999998	0.0067	0.032799999999999996	0.1597	0.0	0.0	0.0373	0.0	0.0	0.0	0.0	0.0
800	0.6849	0.0565	0.022099999999999998	0.0067	0.032799999999999996	0.1597	0.0	0.0	0.0373	0.0	0.0	0.0	0.0	0.0
900	0.6796	0.0593	0.0239	0.006500000000000001	0.032400000000000005	0.1606	0.0	0.0	0.0378	0.0	0.0	0.0	0.0	0.0
1000	0.6708	0.0641	0.0268	0.006	0.0313	0.16210000000000002	0.0	0.0	0.039	0.0	0.0	0.0	0.0	0.0
1100	0.6631999999999999	0.0679	0.0286	0.0054	0.0297	0.16399999999999998	0.0	0.0	0.041299999999999996	0.0	0.0	0.0	0.0	0.0
25	0.6960999999999999	0.0493	0.0173	0.0	0.028900000000000002	0.1696	0.0	0.0	0.0368	0.0	0.0019	0.0	0.0	0.0
300	0.6960999999999999	0.0493	0.0173	0.0	0.028900000000000002	0.1696	0.0	0.0	0.0368	0.0	0.0019	0.0	0.0	0.0
500	0.6960999999999999	0.0493	0.0173	0.0	0.028900000000000002	0.1696	0.0	0.0	0.0368	0.0	0.0019	0.0	0.0	0.0
600	0.6960999999999999	0.0493	0.0173	0.0	0.028900000000000002	0.1696	0.0	0.0	0.0368	0.0	0.0019	0.0	0.0	0.0
700	0.6960999999999999	0.0493	0.0173	0.0	0.028900000000000002	0.1696	0.0	0.0	0.0368	0.0	0.0019	0.0	0.0	0.0
800	0.6960999999999999	0.0493	0.0173	0.0	0.028900000000000002	0.1696	0.0	0.0	0.0368	0.0	0.0019	0.0	0.0	0.0
900	0.6915	0.052199999999999996	0.019	0.0	0.0285	0.1697	0.0	0.0	0.0373	0.0	0.0019	0.0	0.0	0.0
1000	0.6823	0.0564	0.021400000000000002	0.0	0.0273	0.1718	0.0	0.0	0.0392	0.0	0.0016	0.0	0.0	0.0
1100	0.6753	0.0601	0.0229	0.0	0.0258	0.172	0.0	0.0	0.0425	0.0	0.0014000000000000002	0.0	0.0	0.0
25	0.7384000000000001	0.0	0.04019999999999999	0.0166	0.0	0.1483	0.0364	0.016	0.004	0.0	0.0	0.0	0.0	0.0
300	0.7384000000000001	0.0	0.04019999999999999	0.0166	0.0	0.1483	0.0364	0.016	0.004	0.0	0.0	0.0	0.0	0.0
500	0.7384000000000001	0.0	0.04019999999999999	0.0166	0.0	0.1483	0.0364	0.016	0.004	0.0	0.0	0.0	0.0	0.0
600	0.7384000000000001	0.0	0.04019999999999999	0.0166	0.0	0.1483	0.0364	0.016	0.004	0.0	0.0	0.0	0.0	0.0
700	0.7384000000000001	0.0	0.04019999999999999	0.0166	0.0	0.1483	0.0364	0.016	0.004	0.0	0.0	0.0	0.0	0.0
800	0.7384000000000001	0.0	0.04019999999999999	0.0166	0.0	0.1483	0.0364	0.016	0.004	0.0	0.0	0.0	0.0	0.0
900	0.736	0.0	0.0435	0.016200000000000003	0.0	0.14800000000000002	0.0364	0.0159	0.004	0.0	0.0	0.0	0.0	0.0
1000	0.7306999999999999	0.0	0.0475	0.0146	0.0	0.15039999999999998	0.036699999999999997	0.0158	0.0043	0.0	0.0	0.0	0.0	0.0
25	0.7479	0.0	0.026099999999999998	0.0194	0.0	0.17079999999999998	0.015600000000000001	0.0202	0.0	0.0	0.0	0.0	0.0	0.0
300	0.7479	0.0	0.026099999999999998	0.0194	0.0	0.17079999999999998	0.015600000000000001	0.0202	0.0	0.0	0.0	0.0	0.0	0.0
500	0.7479	0.0	0.026099999999999998	0.0194	0.0	0.17079999999999998	0.015600000000000001	0.0202	0.0	0.0	0.0	0.0	0.0	0.0
700	0.7479	0.0	0.026099999999999998	0.0194	0.0	0.17079999999999998	0.015600000000000001	0.0202	0.0	0.0	0.0	0.0	0.0	0.0
800	0.7479	0.0	0.026099999999999998	0.0194	0.0	0.17079999999999998	0.015600000000000001	0.0202	0.0	0.0	0.0	0.0	0.0	0.0
900	0.7465999999999999	0.0	0.0287	0.0189	0.0	0.1702	0.015600000000000001	0.02	0.0	0.0	0.0	0.0	0.0	0.0
1000	0.7424	0.0	0.0313	0.0168	0.0	0.1736	0.0159	0.020099999999999996	0.0	0.0	0.0	0.0	0.0	0.0
1100	0.7391	0.0	0.031400000000000004	0.0139	0.0	0.1796	0.0159	0.020099999999999996	0.0	0.0	0.0	0.0	0.0	0.0
25	0.7383	0.0	0.031200000000000002	0.024300000000000002	0.0	0.1697	0.0	0.0	0.0365	0.0	0.0	0.0	0.0	0.0
300	0.7383	0.0	0.031200000000000002	0.024300000000000002	0.0	0.1697	0.0	0.0	0.0365	0.0	0.0	0.0	0.0	0.0
500	0.7383	0.0	0.031200000000000002	0.024300000000000002	0.0	0.1697	0.0	0.0	0.0365	0.0	0.0	0.0	0.0	0.0
600	0.7383	0.0	0.031200000000000002	0.024300000000000002	0.0	0.1697	0.0	0.0	0.0365	0.0	0.0	0.0	0.0	0.0
700	0.7383	0.0	0.031200000000000002	0.024300000000000002	0.0	0.1697	0.0	0.0	0.0365	0.0	0.0	0.0	0.0	0.0
800	0.7383	0.0	0.031200000000000002	0.024300000000000002	0.0	0.1697	0.0	0.0	0.0365	0.0	0.0	0.0	0.0	0.0
900	0.7359	0.0	0.0335	0.0235	0.0	0.17	0.0	0.0	0.037000000000000005	0.0	0.0	0.0	0.0	0.0
1000	0.7317	0.0	0.0369	0.0216	0.0	0.17129999999999998	0.0	0.0	0.038599999999999995	0.0	0.0	0.0	0.0	0.0
1100	0.7282	0.0	0.038599999999999995	0.019	0.0	0.1726	0.0	0.0	0.0417	0.0	0.0	0.0	0.0	0.0
25	0.7453	0.0	0.0217	0.0276	0.0	0.17859999999999998	0.0	0.0	0.0255	0.0014000000000000002	0.0	0.0	0.0	0.0
300	0.7453	0.0	0.0217	0.0276	0.0	0.17859999999999998	0.0	0.0	0.0255	0.0014000000000000002	0.0	0.0	0.0	0.0
500	0.7453	0.0	0.0217	0.0276	0.0	0.17859999999999998	0.0	0.0	0.0255	0.0014000000000000002	0.0	0.0	0.0	0.0
600	0.7453	0.0	0.0217	0.0276	0.0	0.17859999999999998	0.0	0.0	0.0255	0.0014000000000000002	0.0	0.0	0.0	0.0
700	0.7453	0.0	0.0217	0.0276	0.0	0.17859999999999998	0.0	0.0	0.0255	0.0014000000000000002	0.0	0.0	0.0	0.0
800	0.7453	0.0	0.0217	0.0276	0.0	0.17859999999999998	0.0	0.0	0.0255	0.0014000000000000002	0.0	0.0	0.0	0.0
900	0.7431	0.0	0.023	0.0264	0.0	0.18	0.0	0.0	0.026099999999999998	0.0014000000000000002	0.0	0.0	0.0	0.0
1000	0.7387	0.0	0.0248	0.023399999999999997	0.0	0.1834	0.0	0.0	0.0281	0.0016	0.0	0.0	0.0	0.0
1100	0.7363	0.0	0.0255	0.0199	0.0	0.18460000000000001	0.0	0.0	0.0318	0.0018	0.0	0.0	0.0	0.0
