Temp	Nickel	Cobalt	Chromium	Molybdenum	Tungsten	Aluminium	Titanium	Niobium	Tantalum	Hafnium	Rhenium	Vanadium	Ferrite	Galium	Copper	Gold
1000	0.7132	0.0	0.14400000000000002	0.066	0.0	0.0635	0.0048	0.0085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1100	0.7226	0.0	0.1144	0.0547	0.0	0.0891	0.0077	0.0115	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.6804000000000001	0.0	0.184	0.0953	0.0	0.0329	0.0	0.0	0.0074	0.0	0.0	0.0	0.0	0.0	0.0	0.0
300	0.6804000000000001	0.0	0.184	0.0953	0.0	0.0329	0.0	0.0	0.0074	0.0	0.0	0.0	0.0	0.0	0.0	0.0
500	0.6804000000000001	0.0	0.184	0.0953	0.0	0.0329	0.0	0.0	0.0074	0.0	0.0	0.0	0.0	0.0	0.0	0.0
600	0.6804000000000001	0.0	0.184	0.0953	0.0	0.0329	0.0	0.0	0.0074	0.0	0.0	0.0	0.0	0.0	0.0	0.0
700	0.6804000000000001	0.0	0.184	0.0953	0.0	0.0329	0.0	0.0	0.0074	0.0	0.0	0.0	0.0	0.0	0.0	0.0
800	0.6804000000000001	0.0	0.184	0.0953	0.0	0.0329	0.0	0.0	0.0074	0.0	0.0	0.0	0.0	0.0	0.0	0.0
900	0.6887000000000001	0.0	0.17010000000000003	0.0925	0.0	0.0405	0.0	0.0	0.008199999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1000	0.7025	0.0	0.1439	0.0849	0.0	0.058499999999999996	0.0	0.0	0.0102	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1100	0.7121999999999999	0.0	0.1202	0.0747	0.0	0.0802	0.0	0.0	0.0127	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.7143	0.0	0.1335	0.1085	0.0	0.0384	0.0	0.0	0.0051	0.0002	0.0	0.0	0.0	0.0	0.0	0.0
300	0.7143	0.0	0.1335	0.1085	0.0	0.0384	0.0	0.0	0.0051	0.0002	0.0	0.0	0.0	0.0	0.0	0.0
500	0.7143	0.0	0.1335	0.1085	0.0	0.0384	0.0	0.0	0.0051	0.0002	0.0	0.0	0.0	0.0	0.0	0.0
600	0.7143	0.0	0.1335	0.1085	0.0	0.0384	0.0	0.0	0.0051	0.0002	0.0	0.0	0.0	0.0	0.0	0.0
700	0.7143	0.0	0.1335	0.1085	0.0	0.0384	0.0	0.0	0.0051	0.0002	0.0	0.0	0.0	0.0	0.0	0.0
800	0.7143	0.0	0.1335	0.1085	0.0	0.0384	0.0	0.0	0.0051	0.0002	0.0	0.0	0.0	0.0	0.0	0.0
900	0.7208	0.0	0.1217	0.1039	0.0	0.04769999999999999	0.0	0.0	0.0058	0.0002	0.0	0.0	0.0	0.0	0.0	0.0
1000	0.7304999999999999	0.0	0.0998	0.09210000000000002	0.0	0.0699	0.0	0.0	0.0074	0.0003	0.0	0.0	0.0	0.0	0.0	0.0
1100	0.7342	0.0	0.0815	0.0782	0.0	0.096	0.0	0.0	0.0097	0.0004	0.0	0.0	0.0	0.0	0.0	0.0
25	0.5882999999999999	0.1243	0.147	0.0955	0.0	0.0374	0.0	0.0	0.0075	0.0	0.0	0.0	0.0	0.0	0.0	0.0
300	0.5882999999999999	0.1243	0.147	0.0955	0.0	0.0374	0.0	0.0	0.0075	0.0	0.0	0.0	0.0	0.0	0.0	0.0
500	0.5882999999999999	0.1243	0.147	0.0955	0.0	0.0374	0.0	0.0	0.0075	0.0	0.0	0.0	0.0	0.0	0.0	0.0
600	0.5882999999999999	0.1243	0.147	0.0955	0.0	0.0374	0.0	0.0	0.0075	0.0	0.0	0.0	0.0	0.0	0.0	0.0
700	0.5882999999999999	0.1243	0.147	0.0955	0.0	0.0374	0.0	0.0	0.0075	0.0	0.0	0.0	0.0	0.0	0.0	0.0
800	0.5882999999999999	0.1243	0.147	0.0955	0.0	0.0374	0.0	0.0	0.0075	0.0	0.0	0.0	0.0	0.0	0.0	0.0
900	0.6024	0.115	0.1359	0.0926	0.0	0.0458	0.0	0.0	0.0083	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1000	0.6313	0.0971	0.1118	0.0828	0.0	0.0665	0.0	0.0	0.0105	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.902	0.0	0.098	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.9	0.0	0.049	0.0	0.0	0.051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.848	0.0	0.152	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.851	0.0	0.122	0.0	0.0	0.027000000000000003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.8490000000000001	0.0	0.099	0.0	0.0	0.052000000000000005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.828	0.0	0.096	0.0	0.0	0.076	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.802	0.0	0.198	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.799	0.0	0.14800000000000002	0.0	0.0	0.053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.7509999999999999	0.0	0.249	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.746	0.0	0.22399999999999998	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.7490000000000001	0.0	0.198	0.0	0.0	0.053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.7020000000000001	0.0	0.298	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.6990000000000001	0.0	0.27399999999999997	0.0	0.0	0.027000000000000003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.6990000000000001	0.0	0.247	0.0	0.0	0.054000000000000006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.652	0.0	0.348	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.647	0.0	0.325	0.0	0.0	0.027999999999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.649	0.0	0.293	0.0	0.0	0.057999999999999996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.8	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0
25	0.75	0.0	0.0	0.0	0.0	0.025	0.0	0.0	0.0	0.0	0.0	0.0	0.225	0.0	0.0	0.0
25	0.6	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.0	0.0	0.0
25	0.951	0.0	0.0	0.0	0.0	0.049	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.925	0.0	0.0	0.0	0.0	0.075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.889	0.0	0.0	0.0	0.0	0.111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.879	0.0	0.0	0.0	0.0	0.121	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.8759999999999999	0.0	0.0	0.0	0.0	0.124	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.86	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.846	0.0	0.0	0.0	0.0	0.154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20	0.941	0.0	0.0	0.0	0.0	0.059000000000000004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
200	0.941	0.0	0.0	0.0	0.0	0.059000000000000004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
350	0.941	0.0	0.0	0.0	0.0	0.059000000000000004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
500	0.941	0.0	0.0	0.0	0.0	0.059000000000000004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20	0.8759999999999999	0.0	0.0	0.0	0.0	0.124	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
200	0.8759999999999999	0.0	0.0	0.0	0.0	0.124	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
350	0.8759999999999999	0.0	0.0	0.0	0.0	0.124	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
500	0.8759999999999999	0.0	0.0	0.0	0.0	0.124	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.823	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.145	0.032
25	0.825	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.145	0.03
25	0.833	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.147	0.02
25	0.836	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14800000000000002	0.016
25	0.841	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.149	0.01
25	0.847	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.003
25	0.9520000000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.024	0.024
25	0.973	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.015
25	0.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.005
25	0.993	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006999999999999999
25	0.9887999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011200000000000002
