Temp	Nickel	Cobalt	Chromium	Molybdenum	Tungsten	Aluminium	Titanium	Niobium	Tantalum	Hafnium	Rhenium	Vanadium	Ferrite	Galium	Copper	Gold	AlphaGamma	AlphaGammaPrime	Phase
800	0.7434000000000001	0.0	0.1573	0.0	0.065	0.0264	0.0	0.0	0.0079	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.620903		$\gamma$
900	0.7464	0.0	0.1482	0.0	0.0641	0.0325	0.0	0.0	0.0088	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.626115		$\gamma$
1000	0.7515999999999999	0.0	0.1288	0.0	0.0614	0.0473	0.0	0.0	0.0109	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.633111		$\gamma$
1100	0.7524	0.0	0.1114	0.0	0.0582	0.0646	0.0	0.0	0.0133	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.639494000000001		$\gamma$
25	0.7195999999999999	0.0	0.1873	0.0	0.0585	0.024	0.0	0.0	0.0106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.586311		$\gamma$
300	0.7195999999999999	0.0	0.1873	0.0	0.0585	0.024	0.0	0.0	0.0106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.598028		$\gamma$
600	0.7195999999999999	0.0	0.1873	0.0	0.0585	0.024	0.0	0.0	0.0106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.611344		$\gamma$
700	0.7195999999999999	0.0	0.1873	0.0	0.0585	0.024	0.0	0.0	0.0106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.61626		$\gamma$
800	0.7195999999999999	0.0	0.1873	0.0	0.0585	0.024	0.0	0.0	0.0106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.621935		$\gamma$
900	0.7265999999999999	0.0	0.1745	0.0	0.0575	0.0296	0.0	0.0	0.0118	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.621935		$\gamma$
1000	0.7342	0.0	0.1534	0.0	0.0555	0.0425	0.0	0.0	0.0143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.637861		$\gamma$
